Round,Retry Index,Algorithm,Attention Mechanism,Learning Rate,Gamma,Model File,Training File,Test File,Self-eval,Tool Usage %,Lambda,Threshold Violations,T_wt,t_FR,Eval_Score
7,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
8,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
9,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
10,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
11,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
12,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
13,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
14,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
15,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
16,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
17,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
18,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
19,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
